iteration,wall_time_s,barrier_wait_s,compute_time_s,delta,comm_bytes,driver_rss_mb,task_min_s,task_max_s,task_avg_s,task_std_s,load_imbalance,dirty_node_count
1,0.21930669993162155,0.1906483001075685,0.025393099756911397,0.05603625035816565,2778450,242.046875,0.007356100017204881,0.012173900147899985,0.009427975048311055,0.0020381786115029736,0.3957482870866311,20107
2,0.07620480004698038,0.04915800015442073,0.02411409979686141,0.013407617808774324,2778450,244.55078125,0.008635800099000335,0.014424900058656931,0.010632799996528774,0.0026018256349993043,0.4013268678546121,20107
3,0.0844312000554055,0.05770150013267994,0.023411599919199944,0.0037969068192551495,2778450,245.63671875,0.004498800029978156,0.009362299926578999,0.006291649944614619,0.0022508433867234963,0.5194770446088426,20107
4,0.07902069995179772,0.051327000139281154,0.02446269989013672,0.0010755115356649225,2778450,246.62109375,0.004593299934640527,0.012691499898210168,0.008295524981804192,0.0033550565499180216,0.6380806073765717,20107
5,0.08111079991795123,0.05351700005121529,0.024421899812296033,0.00030465620344272273,2778450,246.32421875,0.009259599959477782,0.013018500059843063,0.010416499979328364,0.0017541184146309518,0.2887352677410207,20107
6,0.0819854000583291,0.05516469990834594,0.024019500007852912,8.629905213237326e-05,2778450,248.57421875,0.009627499850466847,0.015106899896636605,0.011102324933744967,0.002673042072533692,0.362708436784551,20107
7,0.07830270007252693,0.05036209989339113,0.025296600069850683,2.4445680850649616e-05,2778450,249.23828125,0.005156500032171607,0.01049409992992878,0.008479924988932908,0.002306493077398536,0.5086286516611622,20107
8,0.07491670013405383,0.047000099904835224,0.024932499742135406,6.92465695541201e-06,2778450,249.70703125,0.004734799964353442,0.014960499946027994,0.008202400000300258,0.004638287142418846,0.6835132528033911,20107
9,0.0895385998301208,0.06012669997289777,0.026283799903467298,1.9615275296771478e-06,2778450,250.33984375,0.005173299927264452,0.01909800013527274,0.010544774995651096,0.005996416139570015,0.7291182380028519,20107
10,0.07830359996296465,0.05031159985810518,0.024398100096732378,5.556362740995538e-07,2778450,250.390625,0.006266500102356076,0.017353600123897195,0.010425175074487925,0.004800470464747279,0.6388933675078383,20107
